replicate,rank,top-100
1,1,0.03
1,2,0.04
1,3,0.05
1,4,0.05
1,5,0.07
1,6,0.09
1,7,0.09
1,8,0.1
1,9,0.11
1,10,0.11
1,11,0.14
1,12,0.16
1,13,0.17
1,14,0.19
1,15,0.19
1,16,0.19
1,17,0.19
1,18,0.19
1,19,0.19
1,20,0.2
1,21,0.22
1,22,0.23
1,23,0.24
1,24,0.24
1,25,0.25
1,26,0.25
1,27,0.25
1,28,0.26
1,29,0.28
1,30,0.3
1,31,0.35
1,32,0.44
1,33,0.45
1,34,0.5
1,35,0.51
1,36,0.55
1,37,0.57
1,38,0.59
1,39,0.59
1,40,0.57
1,41,0.59
1,42,0.59
1,43,0.6
1,44,0.59
1,45,0.6
1,46,0.58
1,47,0.61
1,48,0.6
1,49,0.61
1,50,0.63
1,51,0.63
1,52,0.63
1,53,0.61
1,54,0.64
1,55,0.64
1,56,0.66
1,57,0.65
1,58,0.63
1,59,0.64
1,60,0.64
2,1,0.03
2,2,0.06
2,3,0.07
2,4,0.09
2,5,0.11
2,6,0.12
2,7,0.13
2,8,0.16
2,9,0.17
2,10,0.2
2,11,0.22
2,12,0.23
2,13,0.25
2,14,0.28
2,15,0.3
2,16,0.32
2,17,0.34
2,18,0.37
2,19,0.38
2,20,0.44
2,21,0.45
2,22,0.45
2,23,0.46
2,24,0.44
2,25,0.47
2,26,0.47
2,27,0.5
2,28,0.54
2,29,0.56
2,30,0.55
2,31,0.58
2,32,0.58
2,33,0.6
2,34,0.6
2,35,0.6
2,36,0.61
2,37,0.59
2,38,0.59
2,39,0.59
2,40,0.61
2,41,0.61
2,42,0.64
2,43,0.64
2,44,0.64
2,45,0.66
2,46,0.65
2,47,0.64
2,48,0.65
2,49,0.65
2,50,0.64
2,51,0.62
2,52,0.67
2,53,0.66
2,54,0.64
2,55,0.67
2,56,0.65
2,57,0.64
2,58,0.65
2,59,0.67
2,60,0.67
3,1,0.06
3,2,0.08
3,3,0.06
3,4,0.08
3,5,0.08
3,6,0.08
3,7,0.1
3,8,0.12
3,9,0.13
3,10,0.14
3,11,0.15
3,12,0.17
3,13,0.21
3,14,0.25
3,15,0.28
3,16,0.3
3,17,0.31
3,18,0.31
3,19,0.32
3,20,0.34
3,21,0.34
3,22,0.34
3,23,0.36
3,24,0.36
3,25,0.36
3,26,0.36
3,27,0.37
3,28,0.38
3,29,0.39
3,30,0.41
3,31,0.42
3,32,0.42
3,33,0.41
3,34,0.43
3,35,0.45
3,36,0.44
3,37,0.44
3,38,0.42
3,39,0.46
3,40,0.45
3,41,0.46
3,42,0.47
3,43,0.5
3,44,0.48
3,45,0.49
3,46,0.47
3,47,0.48
3,48,0.49
3,49,0.46
3,50,0.5
3,51,0.51
3,52,0.51
3,53,0.52
3,54,0.49
3,55,0.53
3,56,0.52
3,57,0.51
3,58,0.53
3,59,0.54
3,60,0.52
4,1,0.14
4,2,0.14
4,3,0.13
4,4,0.14
4,5,0.14
4,6,0.16
4,7,0.2
4,8,0.21
4,9,0.22
4,10,0.24
4,11,0.24
4,12,0.24
4,13,0.26
4,14,0.26
4,15,0.26
4,16,0.31
4,17,0.33
4,18,0.35
4,19,0.37
4,20,0.37
4,21,0.37
4,22,0.38
4,23,0.39
4,24,0.4
4,25,0.42
4,26,0.43
4,27,0.43
4,28,0.43
4,29,0.42
4,30,0.45
4,31,0.46
4,32,0.49
4,33,0.5
4,34,0.51
4,35,0.51
4,36,0.5
4,37,0.52
4,38,0.53
4,39,0.54
4,40,0.53
4,41,0.54
4,42,0.54
4,43,0.54
4,44,0.53
4,45,0.52
4,46,0.54
4,47,0.55
4,48,0.55
4,49,0.53
4,50,0.54
4,51,0.56
4,52,0.54
4,53,0.56
4,54,0.55
4,55,0.56
4,56,0.58
4,57,0.58
4,58,0.59
4,59,0.58
4,60,0.59
5,1,0.09
5,2,0.07
5,3,0.11
5,4,0.13
5,5,0.15
5,6,0.16
5,7,0.17
5,8,0.18
5,9,0.2
5,10,0.21
5,11,0.22
5,12,0.24
5,13,0.25
5,14,0.27
5,15,0.28
5,16,0.31
5,17,0.32
5,18,0.33
5,19,0.33
5,20,0.33
5,21,0.36
5,22,0.39
5,23,0.4
5,24,0.42
5,25,0.43
5,26,0.45
5,27,0.48
5,28,0.47
5,29,0.49
5,30,0.47
5,31,0.51
5,32,0.51
5,33,0.51
5,34,0.51
5,35,0.51
5,36,0.52
5,37,0.54
5,38,0.55
5,39,0.55
5,40,0.55
5,41,0.55
5,42,0.56
5,43,0.56
5,44,0.56
5,45,0.56
5,46,0.54
5,47,0.59
5,48,0.57
5,49,0.59
5,50,0.56
5,51,0.57
5,52,0.62
5,53,0.59
5,54,0.58
5,55,0.59
5,56,0.6
5,57,0.59
5,58,0.63
5,59,0.64
5,60,0.6
